[prop]	label
omcT:aCameraFor.Slate	a camera for slate
omcT:aCameraMetadataHas.Slate	a camera metadata has slate
omcT:aCameraUnitFor.Slate	a camera unit for slate
omcT:aCaptureHas.Slate	a capture has slate
omcT:aCaptureRepresents.ProductionScene	a capture represents production scene
omcT:aCarrierUsedBy.AssetAsStructure	a carrier used by asset as structure
omcT:aCharacterFeaturesIn.NarrativeScene	a character features in
omcT:aCharacterNeeds.Aerial	a character needs aerial
omcT:aCharacterNeeds.Choreography	a character needs choreography
omcT:aCharacterNeeds.Fight	a character needs fight
omcT:aCharacterNeeds.Marine	a character needs marine
omcT:aCharacterNeeds.MotionCapture	a character needs motion capture
omcT:aCharacterNeeds.NarrativeGreenery	a character needs narrative greenery
omcT:aCharacterNeeds.NarrativeHair	a character needs narrative hair
omcT:aCharacterNeeds.NarrativeMakeup	a character needs narrative makeup
omcT:aCharacterNeeds.NarrativeObject	a character needs narrative object
omcT:aCharacterNeeds.NarrativeProp	a character needs narrative prop
omcT:aCharacterNeeds.NarrativeProsthetics	a character needs narrative prosthetics
omcT:aCharacterNeeds.NarrativeVehicle	a character needs narrative vehicle
omcT:aCharacterNeeds.NarrativeWardrobe	a character needs narrative wardrobe
omcT:aCharacterNeeds.SpecialEffect	a character needs special effect
omcT:aCharacterNeeds.Stunt	a character needs stunt
omcT:aCharacterNeeds.VisualEffect	a character needs visual effect
omcT:aCharacterPortrayedIn.Portrayal	a character portrayed in portrayal
omcT:aChoreographyFeaturesIn.NarrativeScene	a choreography features in narrative scene
omcT:aChoreographyNeededBy.Character	a choreography needed by character
omcT:aConceptArtFor.NarrativeElement	a concept art for narrative element
omcT:aConceptIdea.Asset	a concept idea asset
omcT:aConceptSubject	a concept subject
omcT:aContextElementHas.CreativeReferenceMaterial	a context element has creative reference material
omcT:aContributionFor.CreativeWork	a contribution for creative work
omcT:aContributionHas.Contributor	a contribution has contributor
omcT:aContributionHas.Portrayal	a contribution has portrayal
omcT:aCostumeUsedIn.Portrayal	a costume used in portrayal
omcT:aCostumeUsedIn.ProductionScene	a costume used in production scene
omcT:aCreativeReferenceMaterialFor.ContextElement	a creative reference material for context element
omcT:aCreativeWorkHas.Contribution	a creative work has contribution
omcT:aCreativeWorkHas.NarrativeScene	a creative work has narrative scene
omcT:aCreativeWorkHas.Portrayal	a creative work has portrayal
omcT:aCreativeWorkHas.ProductionCompany	a creative work has production company
omcT:aCreativeWorkHas.Script	a creative work has script
omcT:aCreativeWorkHas.Slate	a creative work has slate
omcT:aCreativeWorkRelated.CreativeWork	a creative work related to creative work
omcT:aDepictionDepicter.ProductionObject	a depiction depicter production object
omcT:aDepictionDepicts.NarrativeObject	a depiction depicts narrative object
omcT:aDepictionUsedIn.Portrayal	a depiction used in portrayal
omcT:aDepictionUsedIn.ProductionScene	a depiction used in production scene
omcT:aDirectorFor.Slate	a director for slate
omcT:aFightFeaturesIn.NarrativeScene	a fight features in narrative scene
omcT:aFightNeededBy.Character	a fight needed by character
omcT:aLocationFor.NarrativeLocation	a location for narrative location
omcT:aLocationFor.ProductionLocation	a location for production location
omcT:aMarineFeaturesIn.NarrativeScene	a marine features in narrative scene
omcT:aMarineNeededBy.Character	a marine needed by character
omcT:aMotionCaptureFeaturesIn.NarrativeScene	a motion capture features in narrative scene
omcT:aMotionCaptureNeededBy.Character	a motion capture needed by character
omcT:aNarrativeElementHas.ConceptArt	a narrative element has concept art
omcT:aNarrativeGreeneryFeaturesIn.NarrativeScene	a narrative greenery features in
omcT:aNarrativeGreeneryNeededBy.Character	a narrative greenery needed by character
omcT:aNarrativeHairFeaturesIn.NarrativeScene	a narrative hair features in
omcT:aNarrativeHairNeededBy.Character	a narrative hair needed by character
omcT:aNarrativeLocationFeaturesIn.NarrativeScene	a narrative location features in narrative scene
omcT:aNarrativeLocationHas.Location	a narrative location has location
omcT:aNarrativeMakeupFeaturesIn.NarrativeScene	a narrative makeup features in narrative scene
omcT:aNarrativeMakeupNeededBy.Character	a narrative makeup needed by character
omcT:aNarrativeMusicFeaturesIn.NarrativeScene	a narrative music features in narrative scene
omcT:aNarrativeObjectFeaturesIn.NarrativeScene	a narrative object features in
omcT:aNarrativeObjectIn.Depiction	a narrative object in depiction
omcT:aNarrativeObjectNeededBy.Character	a narrative object needed by character
omcT:aNarrativePropFeaturesIn.NarrativeScene	a narrative prop features in
omcT:aNarrativePropNeededBy.Character	a narrative prop needed by character
omcT:aNarrativeProstheticsFeaturesIn.NarrativeScene	a narrative prothetics features in narrative scene
omcT:aNarrativeProstheticsNeededBy.Character	a narrative prothetics needed by character
omcT:aNarrativeSceneFeatures.Aerial	a narrative scene features aerial
omcT:aNarrativeSceneFeatures.Character	a narrative scene features character
